name,review_count,categories,latitude,longitude,rating,price,neighbourhood,city,address
Millie's Homemade Ice Cream,390,"Ice Cream & Frozen Yogurt,Sandwiches",40.4578599,-79.9254799,4.5,$,Shadyside,Pittsburgh,"232 S Highland Ave,Pittsburgh, PA 15206"
Casbah,445,"Greek,Mediterranean,Cocktail Bars",40.45814,-79.9248,4.0,$$$,Shadyside,Pittsburgh,"229 S Highland Ave,Pittsburgh, PA 15206"
Mercurio's Shadyside,376,"Pizza,Gelato",40.45165,-79.93299,4.0,$$,Shadyside,Pittsburgh,"5523 Walnut St,Pittsburgh, PA 15232"
Senyai Thai Kitchen,220,"Thai,Seafood,Noodles",40.4576253,-79.9288277,4.5,$$,Shadyside,Pittsburgh,"5865 Ellsworth Ave,Pittsburgh, PA 15232"
Choolaah,322,Indian,40.460266,-79.923461,4.0,$$,Shadyside,Pittsburgh,"6114 Centre Ave,Pittsburgh, PA 15206"
Muddy Waters Oyster Bar,568,"Cocktail Bars,Cajun/Creole,Seafood",40.4602070145253,-79.925226,4.5,$$,Shadyside,Pittsburgh,"130 S Highland Ave,Pittsburgh, PA 15206"
Tocayo Taqueria & Tequila,150,Tacos,40.45122,-79.93223,4.5,$$,Shadyside,Pittsburgh,"810 Ivy St,Pittsburgh, PA 15232"
Cafe Moulin,295,"Breakfast & Brunch,French,Coffee & Tea",40.4516222360555,-79.9331853806125,4.0,$$,Shadyside,Pittsburgh,"732 Filbert St,Pittsburgh, PA 15232"
Soba,369,"Asian Fusion,Japanese,Korean",40.45713,-79.92961,4.0,$$$,Shadyside,Pittsburgh,"5847 Ellsworth Ave,Pittsburgh, PA 15232"
P&G's Pamela's Diner,299,Breakfast & Brunch,40.4515828357537,-79.9328698390366,4.0,$$,Shadyside,Pittsburgh,"5527 Walnut St,Pittsburgh, PA 15232"
Girasole Restaurant,456,Italian,40.45121,-79.93462,4.0,$$,Shadyside,Pittsburgh,"733 Copeland St,Pittsburgh, PA 15232"
Acorn Pittsburgh,161,American (New),40.45129,-79.93259,4.5,$$$,Shadyside,Pittsburgh,"5528 Walnut St,Pittsburgh, PA 15232"
Yelp Elite Month @ Tocayo Taqueria & Tequila,73,Yelp Events,40.45122,-79.93223,4.5,$,Shadyside,Pittsburgh,"810 Ivy St,Pittsburgh, PA 15232"
Shady Grove,292,American (Traditional),40.45096,-79.93359,4.0,$$,Shadyside,Pittsburgh,"5500 Walnut St,Pittsburgh, PA 15232"
Pasha Cafe Lounge,132,"Mediterranean,Turkish,Breakfast & Brunch",40.4510208759075,-79.9320307374001,4.5,$$,Shadyside,Pittsburgh,"808 Ivy St,Pittsburgh, PA 15232"
Point Brugge Café,604,Belgian,40.45003,-79.91385,4.5,$$,Shadyside,Pittsburgh,"401 Hastings St,Pittsburgh, PA 15206"
Adda Coffee & Tea House,126,Coffee & Tea,40.4587819423888,-79.9252286377859,4.5,$,Shadyside,Pittsburgh,"200 South Highland Ave,Pittsburgh, PA 15206"
Daphne Cafe,167,"Mediterranean,Turkish",40.4563938195113,-79.9305386851092,4.0,$$,Shadyside,Pittsburgh,"5811 Ellsworth Ave,Pittsburgh, PA 15232"
Mad Mex - Shadyside,353,"Mexican,Tex-Mex",40.458283,-79.925318,3.5,$$,Shadyside,Pittsburgh,"220 S Highland Ave,Pittsburgh, PA 15206"
Arriviste Coffee Bar,86,"Coffee & Tea,Desserts",40.45525,-79.93121,4.5,$,Shadyside,Pittsburgh,"5730 Ellsworth Ave,Pittsburgh, PA 15232"
Prantl's Bakery,250,"Bakeries,Desserts,Custom Cakes",40.45167,-79.93291,4.0,$,Shadyside,Pittsburgh,"5525 Walnut St,Pittsburgh, PA 15232"
The Yard Gastropub,337,"American (New),Gastropubs,Burgers",40.4513696,-79.9341804,3.5,$$,Shadyside,Pittsburgh,"736 Bellefonte St,Pittsburgh, PA 15232"
Con Alma,75,"Jazz & Blues,Latin American,Cocktail Bars",40.45769,-79.92793,4.5,$$,Shadyside,Pittsburgh,"5884 Ellsworth Ave,Pittsburgh, PA 15232"
Umi,157,Japanese,40.45713,-79.92961,4.0,$$$$,Shadyside,Pittsburgh,"5847 Ellsworth Ave,Pittsburgh, PA 15232"
BRGR,470,"Burgers,American (Traditional)",40.4599150051422,-79.9256637245782,3.5,$$,Shadyside,Pittsburgh,"5997 Centre Ave,Pittsburgh, PA 15206"
Bird On The Run,248,Chicken Shop,40.460241,-79.925332,4.0,$$,Shadyside,Pittsburgh,"128 S Highland Ave,Pittsburgh, PA 15206"
The Inn on Negley,56,"Bed & Breakfast,Tea Rooms,Breakfast & Brunch",40.45336,-79.93149,4.5,$$$,Shadyside,Pittsburgh,"703 S Negley Ave,Pittsburgh, PA 15232"
Masala House Indian Bistro,123,Indian,40.45521,-79.94362,4.5,$$,Shadyside,Pittsburgh,"5102 Baum Blvd,Pittsburgh, PA 15224"
Paris 66,261,"French,Brasseries,Bars",40.459956,-79.92427,3.5,$$,Shadyside,Pittsburgh,"6018 Centre Ave,Pittsburgh, PA 15206"
Fujiya Ramen,127,"Ramen,Izakaya",40.4505,-79.93514,4.0,$$,Shadyside,Pittsburgh,"815 S Aiken Ave,Pittsburgh, PA 15232"
Everyday Noodles,747,"Chinese,Noodles",40.438262,-79.920082,4.0,$$,Shadyside,Pittsburgh,"5875 Forbes Ave,Pittsburgh, PA 15217"
Phipps Conservatory and Botanical Gardens,354,"Botanical Gardens,Parks",40.439248,-79.947347,4.5,$,Shadyside,Pittsburgh,"1 Schenley Park,Pittsburgh, PA 15213"
Pizza Perfectta,133,Pizza,40.45723,-79.92535,4.0,$$,Shadyside,Pittsburgh,"258 S Highland Ave,Pittsburgh, PA 15206"
Cafe Zinho,97,"Portuguese,Mediterranean",40.45783,-79.92755,4.0,$$,Shadyside,Pittsburgh,"238 Spahr St,Pittsburgh, PA 15232"
Stack'd Burgers - Shadyside,185,"Burgers,Pubs,American (Traditional)",40.455722,-79.93142,3.5,$$,Shadyside,Pittsburgh,"5741 Ellsworth Ave,Pittsburgh, PA 15232"
Szechuan Spice,98,"Sushi Bars,Szechuan,Hot Pot",40.45701,-79.93346,4.0,$$,Shadyside,Pittsburgh,"5700 Centre Ave,Pittsburgh, PA 15206"
Whitfield,261,American (New),40.46094,-79.92648,4.0,$$,Shadyside,Pittsburgh,"120 S Whitfield St,The Ace Hotel,Pittsburgh, PA 15206"
Zeke's Coffee,124,"Cafes,Coffee & Tea",40.4615,-79.92399,4.5,$,Shadyside,Pittsburgh,"6015 Penn Ave,Pittsburgh, PA 15206"
La Feria,104,"Latin American,Peruvian",40.45171,-79.93283,4.0,$$,Shadyside,Pittsburgh,"5527 Walnut St,Pittsburgh, PA 15232"
The Urban Tap,175,"Gastropubs,American (Traditional)",40.45835,-79.92533,3.5,$$,Shadyside,Pittsburgh,"216 S Highland Ave,Pittsburgh, PA 15206"
Two Sisters,152,Vietnamese,40.46291,-79.92396,4.5,$$,Shadyside,Pittsburgh,"216 N Highland Ave,Pittsburgh, PA 15206"
Dinette,165,Pizza,40.459593019833,-79.9255407974124,3.5,$$,Shadyside,Pittsburgh,"5996 Centre Ave,Pittsburgh, PA 15206"
Five Points Artisan Bakeshop,120,"Bakeries,Desserts",40.4443398,-79.916832,5.0,$,Shadyside,Pittsburgh,"6520 Wilkins Ave,Pittsburgh, PA 15217"
Kelly's Bar & Lounge,181,"Lounges,American (Traditional)",40.4599920866432,-79.9244865083206,3.5,$$,Shadyside,Pittsburgh,"6012 Penn Cir S,Pittsburgh, PA 15206"
Jitters Cafe,77,"Coffee & Tea,Ice Cream & Frozen Yogurt",40.45182,-79.9324199,4.0,$,Shadyside,Pittsburgh,"5541 Walnut St,Pittsburgh, PA 15232"
Waffallonia,313,"Desserts,Ice Cream & Frozen Yogurt,Waffles",40.43769,-79.92283,4.5,$,Shadyside,Pittsburgh,"1709 Murray Ave,Pittsburgh, PA 15217"
The Coffee Tree Roasters,156,Coffee & Tea,40.45123,-79.93275,3.5,$,Shadyside,Pittsburgh,"5524 Walnut St,Pittsburgh, PA 15232"
Apteka,316,"Vegan,Bars,Modern European",40.46565,-79.94933,4.5,$$,Shadyside,Pittsburgh,"4606 Penn Ave,Pittsburgh, PA 15224"
Social,275,"American (New),Gastropubs",40.4567094758718,-79.9161638968201,3.0,$$,Shadyside,Pittsburgh,"6425 Penn Ave,Pittsburgh, PA 15206"
honeygrow,151,"Salad,Noodles,Vegetarian",40.4611774108608,-79.9246995536391,4.0,$$,Shadyside,Pittsburgh,"105 S Highland Ave,Pittsburgh, PA 15206"
Spak Brothers Pizza and More,273,"Pizza,Salad",40.46516,-79.94253,4.0,$,Shadyside,Pittsburgh,"5107 Penn Ave,Pittsburgh, PA 15224"
YinzBurgh BBQ,192,"Barbeque,Southern",40.454734,-79.946451,4.0,$$,Shadyside,Pittsburgh,"4903 Baum Blvd,Pittsburgh, PA 15213"
Le Mardi Gras,61,"Dive Bars,Bagels,Lounges",40.45126,-79.9346599,4.0,$,Shadyside,Pittsburgh,"731 Copeland St,Pittsburgh, PA 15232"
Mola,117,"Sushi Bars,Cocktail Bars",40.4610694442199,-79.924216077817,4.5,$$,Shadyside,Pittsburgh,"6018 Penn Ave,Pittsburgh, PA 15206"
Taiwanese Bistro Cafe 33,290,"Taiwanese,Noodles,Seafood",40.4376110828313,-79.9191114696594,4.5,$$,Shadyside,Pittsburgh,"1711 Shady Ave,Pittsburgh, PA 15217"
Yoshino,35,"Japanese,Sushi Bars",40.45087,-79.93392,4.5,$,Shadyside,Pittsburgh,"5440 Walnut St,Pittsburgh, PA 15232"
Diners 2+1,129,"Sushi Bars,Poke",40.437278,-79.923033,5.0,$$,Shadyside,Pittsburgh,"1722 Murray Ave 1FL,Pittsburgh, PA 15217"
Carnegie Museum of Natural History,140,Museums,40.44341,-79.94884,4.5,$,Shadyside,Pittsburgh,"4400 Forbes Ave,Pittsburgh, PA 15213"
Spork,163,"Tapas/Small Plates,Italian,Cocktail Bars",40.46448,-79.93537,4.0,$$$,Shadyside,Pittsburgh,"5430 Penn Ave,Pittsburgh, PA 15206"
Tana Ethiopian Cuisine,154,Ethiopian,40.4606323242188,-79.9269104003906,4.0,$$,Shadyside,Pittsburgh,"5929 Baum Blvd,Pittsburgh, PA 15206"
Lorelei,74,Bars,40.4603833133257,-79.9254375323653,4.5,$$,Shadyside,Pittsburgh,"124 S Highland Ave,Pittsburgh, PA 15206"
Union Grill,416,American (Traditional),40.44482,-79.94842,4.0,$$,Shadyside,Pittsburgh,"413 S Craig St,Pittsburgh, PA 15213"
Station,243,"Cocktail Bars,American (New),Breakfast & Brunch",40.461161,-79.948517,4.0,$$,Shadyside,Pittsburgh,"4744 Liberty Ave,Pittsburgh, PA 15224"
5801 Video Lounge and Café,84,"Gay Bars,American (Traditional)",40.456276,-79.9307543,4.0,$$,Shadyside,Pittsburgh,"5801 Ellsworth Ave,Pittsburgh, PA 15232"
Commonplace Coffee,105,"Coffee & Tea,Bakeries,Coffee Roasteries",40.4647789001465,-79.9334182739258,4.5,$,Shadyside,Pittsburgh,"5467 Penn Ave,Pittsburgh, PA 15206"
Soju,134,"Korean,Bars,American (New)",40.46536,-79.94431,4.5,$$,Shadyside,Pittsburgh,"4923 Penn Ave,Pittsburgh, PA 15224"
Tessaro's,452,"Steakhouses,Burgers,American (Traditional)",40.46278,-79.95064,4.0,$$,Shadyside,Pittsburgh,"4601 Liberty Ave,Pittsburgh, PA 15224"
Friendship Perk and Brew,90,"Breakfast & Brunch,Coffee & Tea,Sandwiches",40.4620144,-79.940666,4.5,$,Shadyside,Pittsburgh,"300 S Pacific Ave,Pittsburgh, PA 15224"
Butterjoint,210,"American (New),Bars",40.4499759734743,-79.9507371864515,4.0,$$,Shadyside,Pittsburgh,"214 N Craig St,Pittsburgh, PA 15213"
Ritter's Diner,261,"Diners,American (Traditional),Breakfast & Brunch",40.4564001019043,-79.9412396,3.5,$,Shadyside,Pittsburgh,"5221 Baum Blvd,Pittsburgh, PA 15224"
William Penn Tavern,110,"Sports Bars,American (Traditional)",40.451445220945,-79.933732551313,3.5,$,Shadyside,Pittsburgh,"739 Bellefonte St,Pittsburgh, PA 15232"
Thai Cuisine,259,Thai,40.4625496053045,-79.9497600693115,4.0,$$,Shadyside,Pittsburgh,"4627 Liberty Ave,Pittsburgh, PA 15224"
Commonplace Coffee,193,"Coffee & Tea,Bakeries,Coffee Roasteries",40.4382,-79.9218999,4.5,$,Shadyside,Pittsburgh,"5827 Forbes Ave,Pittsburgh, PA 15217"
Hidden Harbor,189,"Cocktail Bars,Caribbean,Tiki Bars",40.4376509,-79.9195142,4.5,$$,Shadyside,Pittsburgh,"1708 Shady Ave,Pittsburgh, PA 15217"
Gaby Et Jules,229,"Bakeries,French,Macarons",40.438345,-79.921365,4.0,$$,Shadyside,Pittsburgh,"5837 Forbes Ave,Pittsburgh, PA 15217"
Sushi Too,155,"Sushi Bars,Japanese,Seafood",40.45077,-79.93416,3.0,$$,Shadyside,Pittsburgh,"5432 Walnut St,Pittsburgh, PA 15232"
Turkish Grille,117,"Turkish,Middle Eastern,Mediterranean",40.4521037,-79.9506159,4.5,$$,Shadyside,Pittsburgh,"272 Melwood Ave,Pittsburgh, PA 15213"
Thai Gourmet,203,Thai,40.463137,-79.9514861,4.5,$$,Shadyside,Pittsburgh,"4505 Liberty Ave,Pittsburgh, PA 15224"
DiAnoia's Eatery,672,"Delis,Italian,Breakfast & Brunch",40.455,-79.97874,4.5,$$,Shadyside,Pittsburgh,"2549 Penn Ave,Pittsburgh, PA 15222"
Smiling Banana Leaf,508,Thai,40.47591,-79.91954,4.0,$$,Shadyside,Pittsburgh,"5901 Bryant St,Pittsburgh, PA 15206"
